brewery,considered_craft,owner_investor,percent_owned,year_acquired,city,state,ownership_pct
10 Barrel,No,Anheuser-Busch InBev,100%,2014,Bend,Oregon,100
21st Amendment,Yes,Brooklyn Brewery (Kirin),<50%,2017,San Leandro,California,50
AC Golden,No,MillerCoors,100%,2008,Golden,Colorado,100
Alpine Beer,Yes,Green Flash Brewing,100%,2015,San Diego,California,100
Anchor Brewing,No,Sapporo Holdings Ltd,100%,2017,San Francisco,California,100
Appalachian Mountain,No,Anheuser-Busch InBev,100%,2019,Boone,North Carolina,100
Atwater,No,Molson Coors,100%,2020,Detroit,Michigan,100
Avery Brewing,No,Mahou-San Miguel,30%,2017,Boulder,Colorado,30
Ballast Point,Yes,Kings & Convicts,100%,2020,San Diego,California,100
Batch 19,No,MillerCoors,100%,2011,,,100
Blue Moon,No,MillerCoors,100%,1995,Golden,Colorado,100
Blue Point,No,Anheuser-Busch InBev,100%,2014,Patchogue,New York,100
Boulevard,Yes,Duvel Moortgat,100%,2014,Kansas City,Missouri,100
Breckenridge,No,Anheuser-Busch InBev,100%,2016,Littleton,Colorado,100
BrewDog,Yes,TSG Consumer Partners,23%,2017,Ellon,Scotland,23
BridgePort,Yes,The Gambrinus Company,100%,1995,Portland,Oregon,100
Brooklyn Brewing,Yes,Kirin Holding Corp,24.5%,2015,Brooklyn,New York,24.5
Cigar City,Yes,CANarchy / Fireman Capital Partners,100%,2016,Tampa Bay,Florida,100
Clown Shoes,Yes,Mass Bay Brewing,100%,2017,Ipswich,Massachusetts,100
Concrete Beach,Yes,A&S Brewing (aka Boston Beer Company),100%,2015,Fort Lauderdale,Florida,100
Deep Ellum,Yes,CANarchy / Fireman Capital Partners,100%,2018,Dallas,Texas,100
Devil's Backbone,No,Anheuser-Busch InBev,100%,2016,Roseland,Virginia,100
Dogfish Head,Yes,Boston Beer Company,100%,2019,Milton,Delaware,100
Elysian,No,Anheuser-Busch InBev,100%,2015,Seattle,Washington,100
Firestone Walker,Yes,Duvel Moortgat,100%,2015,Paso Robles,California,100
Fordham and Dominion,Yes,Coastal Brewing,100%,2018,Dover,Delaware,100
Fort Collins,Yes,Red Truck Beer Company,100%,2017,Fort Collins,Colorado,100
Founders,No,Mahou-San Miguel,100%,2019,Grand Rapids,Michigan,100
Four Corners,No,Constellation Brands,100%,2018,Dallas,Texas,100
Four Peaks,No,Anheuser-Busch InBev,100%,2015,Tempe,Arizona,100
Franciscan Well,No,Molson Coors,100%,2013,Cork City,Ireland,100
Full Sail,Yes,Encore Consumer Capital,100%,2015,Hood River,Oregon,100
Fuller's London Pride,No,Asahi,100%,2019,Tokyo,Japan,100
Funkwerks,Yes,Brooklyn Brewery (Kirin),<50%,2017,Fort Collins,Colorado,50
Funky Buddha,No,Constellation Brands,100%,2017,Boca Raton,Florida,100
Genessee,No,North American Breweries,100%,2009,Rochester,New York,100
Golden Road,No,Anheuser-Busch InBev,100%,2015,Los Angeles,California,100
Goose Island,No,Anheuser-Busch InBev,100%,2011,Chicago,Illinois,100
Grolsch,No,Asahi,100%,2016,Tokyo,Japan,100
Hamm's,No,MillerCoors,100%,1999,St. Paul,Minnesota,100
Honey Brown (Dundee),No,North American Breweries,100%,2010,Rochester,New York,100
Hop Valley,No,MillerCoors,>50%,2016,Eugene,Oregon,50
Karbach,No,Anheuser-Busch InBev,100%,2016,Houston,Texas,100
Killian's Irish Red,No,MillerCoors,100%,NA,,,100
Kona,No,Anheuser-Busch InBev,100%,2019,Kailua-Kona,Hawaii,100
Lagunitas,No,Heineken,100%,2017,Petaluma,California,100
Leinenkugel's,No,MillerCoors,100%,1988,Chippewa Falls,Wisconsin,100
Magic Hat,No,North American Breweries,100%,2010,South Burlington,Vermont,100
Magnolia Brewing,No,Kirin Holding Corp,100%,2019,San Francisco,California,100
Meantime,No,Asahi,100%,2016,Tokyo,Japan,100
New Belgium,No,Kirin Holding Corp,100%,2020,Fort Collins,Colorado,100
Newcastle Brown Ale,No,Heineken,100%,2008,,Netherlands,100
Ninkasi,Yes,Legacy Breweries,>50%,2019,Eugene,Oregon,50
Omission,No,Anheuser-Busch InBev,100%,2019,Portland,Oregon,100
Ommegang,Yes,Duvel Moortgat,100%,2003,Cooperstown,New York,100
Oskar Blues,Yes,CANarchy / Fireman Capital Partners,100%,2015,Longmont,Colorado,100
Pabst,No,TSG Consumer Partners,100%,2014,Los Angeles,California,100
Peroni,No,Asahi,100%,2016,Tokyo,Japan,100
Perrin,Yes,CANarchy / Fireman Capital Partners,100%,2015,Grand Rapids,Michigan,100
Pilsner Urquell,No,Asahi,100%,2016,Tokyo,Japan,100
Platform Beer Co.,No,Anheuser-Busch InBev,100%,2019,Cleveland,Ohio,100
Portland,No,North American Breweries,100%,2008,Portland,Seattle,100
Pyramid,No,North American Breweries,100%,2008,Portland,Seattle,100
Redhook,No,Anheuser-Busch InBev,100%,2019,Seattle,Washington,100
Revolver,No,MillerCoors,>50%,2016,Granbury,Texas,50
Saint Archer,No,Miller Coors,>50%,2015,San Diego,California,50
Sharp's,No,Molson Coors,100%,2011,Cornwall,England,100
Shock Top,No,Anheuser-Busch InBev,100%,2006,Fort Collins,Colorado,100
Short's Brewing,Yes,Lagunitas US Holdings LLC (Heineken),19.9%,2017,Bellaire,Michigan,19.9
Southern Tier,Yes,Artisanal Brewing Ventures,100%,2016,Lakewood,New York,100
Spoetzl (Shiner),Yes,The Gambrinus Company,100%,1989,Shiner,Texas,100
Square Mill Cider,No,Anheuser-Busch InBev,100%,2019,Portland,Oregon,100
Staropramen,No,Molson Coors,100%,2012,Prague,Czech Republic,100
Sufferfest,Yes,Sierra Nevada,100%,2019,San Francisco,California,100
Sweetwater,Yes,TSG Consumer Partners,<50%,2014,Atlanta,Georgia,50
Telegraph,Yes,Epic Brewing,100%,2017,Santa Barbara,California,100
Terrapin,No,MillerCoors,>50%,2016,Athens,Georgia,50
Third Shift,No,MillerCoors,100%,2013,,,100
Three Weavers,Yes,CANarchy / Fireman Capital Partners,100%,2018,Inglewood,California,100
Uinta,Yes,The Riverside Company,<50%,2014,Salt Lake City,Utah,50
Unibroue,No,Sapporo Holdings Ltd,100%,2006,Chambly,Quebec,100
Utah Brewers Cooperative (Wasatch and Squatters),Yes,CANarchy / Fireman Capital Partners,100%,2016,Salt Lake City,Utah,100
Veza Sur,No,Anheuser-Busch InBev,100%,2017,Miami,Florida,100
Victory,Yes,Artisanal Brewing Ventures,100%,2016,Downingtown,Pennsylvania,100
Wicked Weed,No,Anheuser-Busch InBev,100%,2017,Asheville,North Carolina,100
Widmer Brother,No,Anheuser-Busch InBev,100%,2019,Portland,Oregon,100
Wynwood,No,Anheuser-Busch InBev,100%,2019,Miami,Florida,100
Aspen Brewing,Yes,Legacy Breweries,100%,2019,Aspen,Colorado,100
Laurelwood Brewing,Yes,Legacy Breweries,100%,2019,Portland,Oregon,100
